Laboratory	Total Patients Positive***	Total Patients Tested**
MA State Public Health Laboratory	392	3722
ARUP	16	172
Beth Israel Deaconess Medical Center	61	815
BioReference Laboratories	3	9
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	1	39
LabCorp	109	1772
Mayo Clinic Labs	1	18
Partners Healthcare	30	488
Quest Laboratories	112	1226
Tufts Medical Center	13	128
Viracor	27	464
Other	11	58
Total Patients Tested	777	8922
