Laboratory	Total Patients Positive	Total Patients Tested
MA State Public Health Laboratory	500	4774
ARUP	17	181
Beth Israel Deaconess Medical Center	143	1315
BioReference Laboratories	3	9
Boston Medical Center	10	37
Centers for Disease Control and Prevention	1	11
Children’s Hospital Boston	3	47
LabCorp	133	2022
Mayo Clinic Labs	14	96
Partners Healthcare	84	1003
Quest Laboratories	805	9079
Tufts Medical Center	67	425
Viracor	46	740
Other	12	55
Total Patients Tested	1838	19794
